,website,title,browseDate,Categories
0,canvas.uchicago.edu,Topic: Final pitches tomorrow,2024-12-03,Education
1,github.com,rammkripa (Ram Kripa),2024-12-02,Development
2,localhost,Papaya Privacy: Your Data Story,2024-12-02,Localhost
3,auth.berkeley.edu,CAS - Central Authentication Service,2024-12-03,Authentication
4,www.overleaf.com,,2024-12-03,Collaboration
5,uchicago.okta.com,UChicago - Sign In,2024-12-03,Authentication
6,docs.google.com,Papaya Privacy Cash Flow Model.xlsx - Google Sheets,2024-12-03,Collaboration
7,www.cnet.com,"CNET: Product reviews, advice, how-tos and the latest news",2024-12-03,Technology News
8,www.youtube.com,YouTube,2024-12-02,Entertainment
9,github.com,papayaverse/cookie_monster: A Revolutionary Browser Extension that makes sure Users never have to deal with a Cookie Banner ever again,2024-12-02,Development
10,docs.google.com,Papaya Privacy Co. - Google Slides,2024-12-02,Collaboration
11,raulcastrofernandez.com,Raul Castro Fernandez,2024-12-03,Personal Site
12,www.netflix.com,Netflix,2024-12-02,Streaming
13,us-east-2.console.aws.amazon.com,S3 buckets | S3 | us-east-2,2024-12-02,Cloud Services
14,auth.berkeley.edu,CAS - Central Authentication Service,2024-12-03,Authentication
15,docs.google.com,BNV Pitch: Papaya Privacy Co. - Google Slides,2024-12-03,Collaboration
16,www.google.com,aarhus university 2021 cookie banner study - Google Search,2024-12-02,Search
17,www.goal.com,Manchester United Overview,2024-12-03,Sports News
18,devpost.com,Devpost,2024-12-02,Hackathons
19,www.goal.com,"Martin Odegaard, Rodri and every Premier League club's true MVP | Goal.com India",2024-12-02,Sports News
20,ais92psprd.ais.uchicago.edu,,2024-12-03,University Portal
21,docs.google.com,BNV Fall 2024 - Final Point Peer Evaluation,2024-12-03,Collaboration
22,app.netlify.com,Netlify Authenticating,2024-12-02,Development
23,canvas.uchicago.edu,Survey: Class 9 Preparation POV,2024-12-03,Education
24,github.com,Installed GitHub App - Netlify,2024-12-02,Development
25,gradapp.berkeley.edu,Academic History,2024-12-03,Education
26,dl.acm.org,,2024-12-02,Research
27,us-east-2.console.aws.amazon.com,papaya-data-bucket - S3 bucket | S3 | us-east-2,2024-12-02,Cloud Services
28,canvas.uchicago.edu,Canvas LMS,2024-12-03,Education
29,www.goal.com,"Soccer News, Live Scores, Results & Transfers | Goal.com US",2024-12-03,Sports News
30,dashboard.heroku.com,Heroku,2024-12-02,Development
31,localhost,Papaya Privacy: Your Data Story,2024-12-02,Localhost
32,canvas.uchicago.edu,Dashboard,2024-12-03,Education
33,api-6b447a0c.duosecurity.com,Duo Security - Two-Factor Authentication,2024-12-03,Security
34,www.harrods.com,Saint Laurent Shopping Saint Laurent E/W Tote Bag | Harrods US,2024-12-03,Luxury
35,signin.aws.amazon.com,Amazon Web Services Sign-In,2024-12-03,Cloud Services
36,docs.google.com,Papaya Privacy Co. - Google Slides,2024-12-02,Collaboration
37,ais92hbprd.ais.uchicago.edu,,2024-12-03,University Portal
38,gradapp.berkeley.edu,Application Instructions,2024-12-03,Education
39,gradapp.berkeley.edu,Languages,2024-12-03,Education
40,api-322c2749.duosecurity.com,Duo Security - Two-Factor Authentication,2024-12-03,Security
41,docs.google.com,BNV Pitch: Papaya Privacy Co. - Google Slides,2024-12-03,Collaboration
42,devpost.com,Devpost,2024-12-02,Hackathons
43,us-east-2.console.aws.amazon.com,S3 buckets | S3 | us-east-2,2024-12-03,Cloud Services
44,gradapp.berkeley.edu,Login,2024-12-03,Education
45,www.google.com,story - Google Search,2024-12-02,Search
46,www.overleaf.com,"Log in to Overleaf - Overleaf, Online LaTeX Editor",2024-12-03,Collaboration
47,mail.google.com,Gmail,2024-12-03,Email
48,devpost.com,Papaya CookieMonster | Devpost,2024-12-02,Hackathons
49,gradapp.berkeley.edu,Supporting Materials,2024-12-03,Education
50,devpost.com,Papaya CookieMonster | Devpost,2024-12-02,Hackathons
51,accounts.google.com,Sign in - Google Accounts,2024-12-03,Authentication
52,devpost.com,Devpost - The home for hackathons,2024-12-03,Hackathons
53,gradapp.berkeley.edu,Application Management,2024-12-03,Education
